Datetime,Edition,id,IsSelected,Gender,College,StudentProgram,GraduationYear,NHackathon,Role,HasTeam,TeamMembers,TeamId,TeamSize
18/10/2017 21:12:21,2017.2,81,S,M,IME,Bacharelado em Ciência da Computação,2,0,Desenvolvedor,Sim,"81, 125",30,2
18/10/2017 21:12:44,2017.2,110,S,M,IME,Doutorado em Ciência da Computação,Pós-graduação,0,Desenvolvedor,Sim,"60, 68, 108, 110",26,4
18/10/2017 21:14:00,2017.2,65,S,M,IME,Bacharelado em Ciência da Computação,1,1,Desenvolvedor,Não,,0,1
18/10/2017 21:15:37,2017.2,80,S,M,IME,Bacharelado em Ciência da Computação,3,0,Desenvolvedor,Não,,0,1
18/10/2017 21:17:24,2017.2,68,S,M,IME,Doutorado em Ciência da Computação,Pós-graduação,1,Desenvolvedor,Sim,"60, 68, 108, 110",26,4
18/10/2017 21:28:09,2017.2,60,S,M,IME,Doutorado em Ciência da Computação,Doutorado,1,Desenvolvedor,Sim,"60, 68, 108, 110",26,4
19/10/2017 09:19:04,2017.2,8,S,M,IME,Bacharelado em Ciência da Computação,2,0,Desenvolvedor,Não,,0,1
19/10/2017 23:58:17,2017.2,23,S,M,IME,Bacharelado em Ciência da Computação,1,1,Desenvolvedor,Não,"23, 74, 91, 158",11,4
20/10/2017 08:21:44,2017.2,122,N,M,IME,Matemática Aplicada,5,0,Desenvolvedor,Não,,0,1
21/10/2017 15:15:21,2017.2,50,S,M,IME,Bacharelado em Matemática Aplicada e Computacional,3,0,Desenvolvedor,Sim,"50, 163",23,2
21/10/2017 15:33:46,2017.2,163,N,M,IME,Bacharelado em Matemática Aplicada e Computacional,3,0,Negócios,Sim,"50, 163",23,2
21/10/2017 17:00:23,2017.2,140,S,M,IME,Bacharelado em Estatística,2,0,Desenvolvedor,Sim,"45, 57, 140,  165",20,4
21/10/2017 21:50:01,2017.2,35,N,M,IME,Estatística,2,0,Desenvolvedor,Não,,0,1
22/10/2017 01:54:12,2017.2,165,S,M,IME,Bacharelado em Ciência da Computação,4,0,Desenvolvedor,Sim,"45, 57, 140,  165",20,4
22/10/2017 12:58:59,2017.2,57,S,F,IME,Bacharelado em Estatística,4,0,Desenvolvedor,Sim,"45, 57, 140,  165",20,4
23/10/2017 00:03:05,2017.2,91,S,M,IME,Bacharelado em Ciência da Computação,1,0,Nenhuma,Não,"23, 74, 91, 158",11,4
23/10/2017 01:46:06,2017.2,158,S,M,IME,Bacharelado em Ciência da Computação,1,0,Desenvolvedor,Sim,"23, 74, 91, 158",11,4
23/10/2017 01:48:23,2017.2,74,S,M,IME,Bacharelado em Ciência da Computação,1,0,Desenvolvedor,Sim,"23, 74, 91, 158",11,4
21/10/2017 19:39:28,2017.2,32,S,F,IQ,PECE,1,0,Quimica,Não,,0,1
09/11/2017 19:13:12,2017.2,41,N,M,Não USP,,4,1,Negócios,Não,,0,1
11/11/2017 08:12:37,2017.2,139,N,M,Não USP,,4,2,Negócios,Não,,0,1
11/11/2017 16:49:32,2017.2,33,N,M,Não USP,,Pós-graduação,1,Negócios,Não,,0,1
18/10/2017 20:59:59,2017.2,135,S,M,Não USP,,2,0,Desenvolvedor,Sim,"99, 135",33,2
18/10/2017 21:03:34,2017.2,94,S,M,Não USP,,1,0,Desenvolvedor,Sim,"70, 71, 83, 94",28,4
18/10/2017 21:03:43,2017.2,159,S,M,Não USP,,5,0,Desenvolvedor,Sim,"85, 119, 159",31,3
18/10/2017 21:04:24,2017.2,148,S,F,Não USP,,Pós-graduação,0,Negócios,Não,,0,1
18/10/2017 21:05:14,2017.2,92,S,F,Não USP,,4,5,Desenvolvedor,Não,,0,1
18/10/2017 21:06:02,2017.2,70,S,M,Não USP,,1,0,Desenvolvedor,Sim,"70, 71, 83, 94",28,4
18/10/2017 21:06:32,2017.2,88,S,M,Não USP,,4,0,Negócios,Não,,0,1
18/10/2017 21:07:41,2017.2,83,S,M,Não USP,,1,0,Desenvolvedor,Sim,"70, 71, 83, 94",28,4
18/10/2017 21:08:06,2017.2,59,S,M,Não USP,,3,2,Desenvolvedor,Não,,0,1
18/10/2017 21:10:48,2017.2,85,S,F,Não USP,,3,0,Designer,Sim,"85, 119, 159",31,3
18/10/2017 21:13:51,2017.2,119,S,M,Não USP,,5,0,Desenvolvedor,Sim,"85, 119, 159",31,3
18/10/2017 21:16:36,2017.2,71,S,M,Não USP,,1,0,Desenvolvedor,Sim,"70, 71, 83, 94",28,4
18/10/2017 21:17:35,2017.2,17,S,F,Não USP,,5,0,Designer,Não,,0,1
18/10/2017 21:20:09,2017.2,128,S,M,Não USP,,3,2,Desenvolvedor,Não,,0,1
18/10/2017 21:23:43,2017.2,95,S,M,Não USP,,Pós-graduação,2,Negócios,Não,,0,1
18/10/2017 21:27:46,2017.2,75,S,F,Não USP,,1,1,Designer,Não,,0,1
18/10/2017 21:28:11,2017.2,107,S,F,Não USP,,2,2,Desenvolvedor,Sim,"47, 107",22,2
18/10/2017 21:28:40,2017.2,113,S,F,Não USP,,Pós-graduação,0,Negócios,Sim,,0,1
18/10/2017 21:37:04,2017.2,47,S,M,Não USP,,1,0,Desenvolvedor,Sim,"47, 107",22,2
18/10/2017 21:45:38,2017.2,19,S,M,Não USP,,5,2,Desenvolvedor,Sim,"19, 27, 132",9,3
18/10/2017 22:02:58,2017.2,123,S,M,Não USP,,4,0,Negócios,Sim,"62, 118, 123",27,3
18/10/2017 22:13:38,2017.2,43,S,M,Não USP,,2,2,Designer,Não,"43, 102",18,2
18/10/2017 22:17:51,2017.2,112,S,F,Não USP,,Pós-graduação,2,Comunicação digital,Não,,0,1
18/10/2017 22:17:54,2017.2,14,S,M,Não USP,,2,5,Desenvolvedor,Não,,0,1
18/10/2017 22:18:39,2017.2,132,S,M,Não USP,,4,0,Designer,Sim,"19, 27, 132",9,3
18/10/2017 22:21:21,2017.2,27,S,M,Não USP,,4,1,Desenvolvedor,Sim,"19, 27, 132",9,3
18/10/2017 23:26:14,2017.2,157,N,M,Não USP,,2,2,Designer,Sim,"130, 157",5,2
18/10/2017 23:27:55,2017.2,130,N,M,Não USP,,2,0,Desenvolvedor,Sim,"130, 157",5,2
18/10/2017 23:31:28,2017.2,87,N,M,Não USP,,2,2,Negócios,Não,,0,1
18/10/2017 23:42:42,2017.2,69,N,M,Não USP,,5,2,Desenvolvedor,Não,,0,1
18/10/2017 23:43:51,2017.2,137,N,M,Não USP,,5,1,Desenvolvedor,Não,,0,1
18/10/2017 23:46:09,2017.2,146,S,F,Não USP,,5,1,Desenvolvedor,Não,,0,1
18/10/2017 23:51:46,2017.2,72,N,M,Não USP,,2,5,Negócios,Não,"18, 72, 111",8,3
